initCGM,output_cgm,state_Q2,state_S1,state_S2,state_I,state_X1,state_X2,state_X3,state_Ug,state_Ug2
146,0.33349135518074036,-0.4196811616420746,-0.26719802618026733,-0.6658850908279419,-0.6425259709358215,-0.6524662375450134,-0.6384317278862,-0.5898348689079285,-0.08037498593330383,1.3624999523162842
147,0.34541794657707214,-0.41229602694511414,-0.26718583703041077,-0.6677358150482178,-0.6446537971496582,-0.6537202596664429,-0.6406954526901245,-0.5917209982872009,-0.08055894821882248,1.3624999523162842
148,0.3573445677757263,-0.40498486161231995,-0.2671968936920166,-0.6695514917373657,-0.6467443704605103,-0.6550372838973999,-0.6429142951965332,-0.5935649275779724,-0.0807383731007576,1.3624999523162842
149,0.3692711889743805,-0.39773792028427124,-0.2671912908554077,-0.6713363528251648,-0.6488006114959717,-0.6562966108322144,-0.6451026201248169,-0.5953704714775085,-0.08090098947286606,1.3624999523162842
150,0.3811977803707123,-0.38754183053970337,-0.26721319556236267,-0.6731107234954834,-0.6508420705795288,-0.6573611497879028,-0.6472502946853638,-0.5975033044815063,-0.08056739717721939,1.3624999523162842
151,0.39312440156936646,-0.377861350774765,-0.26718956232070923,-0.6750998497009277,-0.6531468033790588,-0.6589705348014832,-0.6496173143386841,-0.6014640927314758,-0.07890702784061432,1.3624999523162842
152,0.40505099296569824,-0.36917027831077576,-0.26720163226127625,-0.6766892075538635,-0.6549775004386902,-0.6622481942176819,-0.6515447497367859,-0.6032029986381531,-0.0788942277431488,1.3624999523162842
153,0.4169776141643524,-0.36382439732551575,-0.2671964168548584,-0.6766625642776489,-0.6548965573310852,-0.672761082649231,-0.6513441205024719,-0.5994619727134705,-0.08166521042585373,1.3624999523162842
154,0.4289042055606842,-0.355616956949234,-0.267212450504303,-0.6780569553375244,-0.6565013527870178,-0.6747008562088013,-0.6530551910400391,-0.6007976531982422,-0.08116009086370468,1.3624999523162842
155,0.4408308267593384,-0.3457811772823334,-0.26721060276031494,-0.6797318458557129,-0.6584538221359253,-0.6751998066902161,-0.6550411581993103,-0.6054031848907471,-0.07857753336429596,1.3624999523162842
156,0.45275744795799255,-0.3381701111793518,-0.26721224188804626,-0.6813597083091736,-0.6603310108184814,-0.678418755531311,-0.6570033431053162,-0.6076076030731201,-0.07856491208076477,1.3624999523162842
157,0.46468403935432434,-0.3306894898414612,-0.2671901285648346,-0.6831063628196716,-0.6623464226722717,-0.6817190051078796,-0.6591382026672363,-0.609897792339325,-0.07855244725942612,1.3624999523162842
158,0.4766106605529785,-0.3232721984386444,-0.2672126293182373,-0.6849228739738464,-0.6644439101219177,-0.6850619316101074,-0.6613433361053467,-0.6121968626976013,-0.07854004204273224,1.3624999523162842
